#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0001,Bisasam,I,"<img src=""pkmn_0001.png"">",Pflanze,Gift,_pkmn_SoundCry_1.mp3,[sound:_pkmn_SoundCry_1.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0002,Bisaknosp,I,"<img src=""pkmn_0002.png"">",Pflanze,Gift,_pkmn_SoundCry_2.mp3,[sound:_pkmn_SoundCry_2.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0003,Bisaflor,I,"<img src=""pkmn_0003.png"">",Pflanze,Gift,_pkmn_SoundCry_3.mp3,[sound:_pkmn_SoundCry_3.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0004,Glumanda,I,"<img src=""pkmn_0004.png"">",Feuer,,_pkmn_SoundCry_4.mp3,[sound:_pkmn_SoundCry_4.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0005,Glutexo,I,"<img src=""pkmn_0005.png"">",Feuer,,_pkmn_SoundCry_5.mp3,[sound:_pkmn_SoundCry_5.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0006,Glurak,I,"<img src=""pkmn_0006.png"">",Feuer,Flug,_pkmn_SoundCry_6.mp3,[sound:_pkmn_SoundCry_6.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0007,Schiggy,I,"<img src=""pkmn_0007.png"">",Wasser,,_pkmn_SoundCry_7.mp3,[sound:_pkmn_SoundCry_7.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0008,Schillok,I,"<img src=""pkmn_0008.png"">",Wasser,,_pkmn_SoundCry_8.mp3,[sound:_pkmn_SoundCry_8.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0009,Turtok,I,"<img src=""pkmn_0009.png"">",Wasser,,_pkmn_SoundCry_9.mp3,[sound:_pkmn_SoundCry_9.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0010,Raupy,I,"<img src=""pkmn_0010.png"">",Käfer,,_pkmn_SoundCry_10.mp3,[sound:_pkmn_SoundCry_10.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0011,Safcon,I,"<img src=""pkmn_0011.png"">",Käfer,,_pkmn_SoundCry_11.mp3,[sound:_pkmn_SoundCry_11.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0012,Smettbo,I,"<img src=""pkmn_0012.png"">",Käfer,Flug,_pkmn_SoundCry_12.mp3,[sound:_pkmn_SoundCry_12.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0013,Hornliu,I,"<img src=""pkmn_0013.png"">",Käfer,Gift,_pkmn_SoundCry_13.mp3,[sound:_pkmn_SoundCry_13.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0014,Kokuna,I,"<img src=""pkmn_0014.png"">",Käfer,Gift,_pkmn_SoundCry_14.mp3,[sound:_pkmn_SoundCry_14.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0015,Bibor,I,"<img src=""pkmn_0015.png"">",Käfer,Gift,_pkmn_SoundCry_15.mp3,[sound:_pkmn_SoundCry_15.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0016,Taubsi,I,"<img src=""pkmn_0016.png"">",Normal,Flug,_pkmn_SoundCry_16.mp3,[sound:_pkmn_SoundCry_16.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0017,Tauboga,I,"<img src=""pkmn_0017.png"">",Normal,Flug,_pkmn_SoundCry_17.mp3,[sound:_pkmn_SoundCry_17.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0018,Tauboss,I,"<img src=""pkmn_0018.png"">",Normal,Flug,_pkmn_SoundCry_18.mp3,[sound:_pkmn_SoundCry_18.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0019,Rattfratz,I,"<img src=""pkmn_0019.png"">",Normal,,_pkmn_SoundCry_19.mp3,[sound:_pkmn_SoundCry_19.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0020,Rattikarl,I,"<img src=""pkmn_0020.png"">",Normal,,_pkmn_SoundCry_20.mp3,[sound:_pkmn_SoundCry_20.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0021,Habitak,I,"<img src=""pkmn_0021.png"">",Normal,Flug,_pkmn_SoundCry_21.mp3,[sound:_pkmn_SoundCry_21.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0022,Ibitak,I,"<img src=""pkmn_0022.png"">",Normal,Flug,_pkmn_SoundCry_22.mp3,[sound:_pkmn_SoundCry_22.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0023,Rettan,I,"<img src=""pkmn_0023.png"">",Gift,,_pkmn_SoundCry_23.mp3,[sound:_pkmn_SoundCry_23.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0024,Arbok,I,"<img src=""pkmn_0024.png"">",Gift,,_pkmn_SoundCry_24.mp3,[sound:_pkmn_SoundCry_24.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0025,Pikachu,I,"<img src=""pkmn_0025.png"">",Elektro,,_pkmn_SoundCry_25.mp3,[sound:_pkmn_SoundCry_25.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0026,Raichu,I,"<img src=""pkmn_0026.png"">",Elektro,,_pkmn_SoundCry_26.mp3,[sound:_pkmn_SoundCry_26.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0027,Sandan,I,"<img src=""pkmn_0027.png"">",Boden,,_pkmn_SoundCry_27.mp3,[sound:_pkmn_SoundCry_27.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0028,Sandamer,I,"<img src=""pkmn_0028.png"">",Boden,,_pkmn_SoundCry_28.mp3,[sound:_pkmn_SoundCry_28.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0029,Nidoran♀,I,"<img src=""pkmn_0029.png"">",Gift,,_pkmn_SoundCry_29.mp3,[sound:_pkmn_SoundCry_29.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0030,Nidorina,I,"<img src=""pkmn_0030.png"">",Gift,,_pkmn_SoundCry_30.mp3,[sound:_pkmn_SoundCry_30.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0031,Nidoqueen,I,"<img src=""pkmn_0031.png"">",Gift,Boden,_pkmn_SoundCry_31.mp3,[sound:_pkmn_SoundCry_31.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0032,Nidoran♂,I,"<img src=""pkmn_0032.png"">",Gift,,_pkmn_SoundCry_32.mp3,[sound:_pkmn_SoundCry_32.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0033,Nidorino,I,"<img src=""pkmn_0033.png"">",Gift,,_pkmn_SoundCry_33.mp3,[sound:_pkmn_SoundCry_33.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0034,Nidoking,I,"<img src=""pkmn_0034.png"">",Gift,Boden,_pkmn_SoundCry_34.mp3,[sound:_pkmn_SoundCry_34.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0035,Piepi,I,"<img src=""pkmn_0035.png"">",Fee,,_pkmn_SoundCry_35.mp3,[sound:_pkmn_SoundCry_35.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0036,Pixi,I,"<img src=""pkmn_0036.png"">",Fee,,_pkmn_SoundCry_36.mp3,[sound:_pkmn_SoundCry_36.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0037,Vulpix,I,"<img src=""pkmn_0037.png"">",Feuer,,_pkmn_SoundCry_37.mp3,[sound:_pkmn_SoundCry_37.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0038,Vulnona,I,"<img src=""pkmn_0038.png"">",Feuer,,_pkmn_SoundCry_38.mp3,[sound:_pkmn_SoundCry_38.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0039,Pummeluff,I,"<img src=""pkmn_0039.png"">",Normal,Fee,_pkmn_SoundCry_39.mp3,[sound:_pkmn_SoundCry_39.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0040,Knuddeluff,I,"<img src=""pkmn_0040.png"">",Normal,Fee,_pkmn_SoundCry_40.mp3,[sound:_pkmn_SoundCry_40.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0041,Zubat,I,"<img src=""pkmn_0041.png"">",Gift,Flug,_pkmn_SoundCry_41.mp3,[sound:_pkmn_SoundCry_41.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0042,Golbat,I,"<img src=""pkmn_0042.png"">",Gift,Flug,_pkmn_SoundCry_42.mp3,[sound:_pkmn_SoundCry_42.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0043,Myrapla,I,"<img src=""pkmn_0043.png"">",Pflanze,Gift,_pkmn_SoundCry_43.mp3,[sound:_pkmn_SoundCry_43.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0044,Duflor,I,"<img src=""pkmn_0044.png"">",Pflanze,Gift,_pkmn_SoundCry_44.mp3,[sound:_pkmn_SoundCry_44.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0045,Giflor,I,"<img src=""pkmn_0045.png"">",Pflanze,Gift,_pkmn_SoundCry_45.mp3,[sound:_pkmn_SoundCry_45.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0046,Paras,I,"<img src=""pkmn_0046.png"">",Käfer,Pflanze,_pkmn_SoundCry_46.mp3,[sound:_pkmn_SoundCry_46.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
