#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0252,Treecko,III,"<img src=""pkmn_0252.png"">",Erba,,_pkmn_SoundCry_252.mp3,[sound:_pkmn_SoundCry_252.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0253,Grovyle,III,"<img src=""pkmn_0253.png"">",Erba,,_pkmn_SoundCry_253.mp3,[sound:_pkmn_SoundCry_253.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0254,Sceptile,III,"<img src=""pkmn_0254.png"">",Erba,,_pkmn_SoundCry_254.mp3,[sound:_pkmn_SoundCry_254.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0255,Torchic,III,"<img src=""pkmn_0255.png"">",Fuoco,,_pkmn_SoundCry_255.mp3,[sound:_pkmn_SoundCry_255.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0256,Combusken,III,"<img src=""pkmn_0256.png"">",Fuoco,Lotta,_pkmn_SoundCry_256.mp3,[sound:_pkmn_SoundCry_256.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0257,Blaziken,III,"<img src=""pkmn_0257.png"">",Fuoco,Lotta,_pkmn_SoundCry_257.mp3,[sound:_pkmn_SoundCry_257.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0258,Mudkip,III,"<img src=""pkmn_0258.png"">",Acqua,,_pkmn_SoundCry_258.mp3,[sound:_pkmn_SoundCry_258.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0259,Marshtomp,III,"<img src=""pkmn_0259.png"">",Acqua,Terra,_pkmn_SoundCry_259.mp3,[sound:_pkmn_SoundCry_259.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0260,Swampert,III,"<img src=""pkmn_0260.png"">",Acqua,Terra,_pkmn_SoundCry_260.mp3,[sound:_pkmn_SoundCry_260.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0261,Poochyena,III,"<img src=""pkmn_0261.png"">",Buio,,_pkmn_SoundCry_261.mp3,[sound:_pkmn_SoundCry_261.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
