#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0001,Fushigidane,I,"<img src=""pkmn_0001.png"">",くさ,どく,_pkmn_SoundCry_1.mp3,[sound:_pkmn_SoundCry_1.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0002,Fushigisou,I,"<img src=""pkmn_0002.png"">",くさ,どく,_pkmn_SoundCry_2.mp3,[sound:_pkmn_SoundCry_2.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0003,Fushigibana,I,"<img src=""pkmn_0003.png"">",くさ,どく,_pkmn_SoundCry_3.mp3,[sound:_pkmn_SoundCry_3.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0004,Hitokage,I,"<img src=""pkmn_0004.png"">",ほのお,,_pkmn_SoundCry_4.mp3,[sound:_pkmn_SoundCry_4.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0005,Lizardo,I,"<img src=""pkmn_0005.png"">",ほのお,,_pkmn_SoundCry_5.mp3,[sound:_pkmn_SoundCry_5.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0006,Lizardon,I,"<img src=""pkmn_0006.png"">",ほのお,ひこう,_pkmn_SoundCry_6.mp3,[sound:_pkmn_SoundCry_6.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0007,Zenigame,I,"<img src=""pkmn_0007.png"">",みず,,_pkmn_SoundCry_7.mp3,[sound:_pkmn_SoundCry_7.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0008,Kameil,I,"<img src=""pkmn_0008.png"">",みず,,_pkmn_SoundCry_8.mp3,[sound:_pkmn_SoundCry_8.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0009,Kamex,I,"<img src=""pkmn_0009.png"">",みず,,_pkmn_SoundCry_9.mp3,[sound:_pkmn_SoundCry_9.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0010,Caterpie,I,"<img src=""pkmn_0010.png"">",むし,,_pkmn_SoundCry_10.mp3,[sound:_pkmn_SoundCry_10.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0011,Trancell,I,"<img src=""pkmn_0011.png"">",むし,,_pkmn_SoundCry_11.mp3,[sound:_pkmn_SoundCry_11.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
