#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0722,Mokuroh,VII,"<img src=""pkmn_0722.png"">",くさ,ひこう,_pkmn_SoundCry_722.mp3,[sound:_pkmn_SoundCry_722.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0723,Fukuthrow,VII,"<img src=""pkmn_0723.png"">",くさ,ひこう,_pkmn_SoundCry_723.mp3,[sound:_pkmn_SoundCry_723.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0724,Junaiper,VII,"<img src=""pkmn_0724.png"">",くさ,ゴースト,_pkmn_SoundCry_724.mp3,[sound:_pkmn_SoundCry_724.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0725,Nyabby,VII,"<img src=""pkmn_0725.png"">",ほのお,,_pkmn_SoundCry_725.mp3,[sound:_pkmn_SoundCry_725.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0726,Nyaheat,VII,"<img src=""pkmn_0726.png"">",ほのお,,_pkmn_SoundCry_726.mp3,[sound:_pkmn_SoundCry_726.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0727,Gaogaen,VII,"<img src=""pkmn_0727.png"">",ほのお,あく,_pkmn_SoundCry_727.mp3,[sound:_pkmn_SoundCry_727.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0728,Ashimari,VII,"<img src=""pkmn_0728.png"">",みず,,_pkmn_SoundCry_728.mp3,[sound:_pkmn_SoundCry_728.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0729,Osyamari,VII,"<img src=""pkmn_0729.png"">",みず,,_pkmn_SoundCry_729.mp3,[sound:_pkmn_SoundCry_729.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0730,Ashirene,VII,"<img src=""pkmn_0730.png"">",みず,フェアリー,_pkmn_SoundCry_730.mp3,[sound:_pkmn_SoundCry_730.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
0731,Tsutsukera,VII,"<img src=""pkmn_0731.png"">",ノーマル,ひこう,_pkmn_SoundCry_731.mp3,[sound:_pkmn_SoundCry_731.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_7
