#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0252,木守宫,III,"<img src=""pkmn_0252.png"">",草,,_pkmn_SoundCry_252.mp3,[sound:_pkmn_SoundCry_252.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0253,森林蜥蜴,III,"<img src=""pkmn_0253.png"">",草,,_pkmn_SoundCry_253.mp3,[sound:_pkmn_SoundCry_253.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0254,蜥蜴王,III,"<img src=""pkmn_0254.png"">",草,,_pkmn_SoundCry_254.mp3,[sound:_pkmn_SoundCry_254.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0255,火稚鸡,III,"<img src=""pkmn_0255.png"">",火,,_pkmn_SoundCry_255.mp3,[sound:_pkmn_SoundCry_255.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0256,力壮鸡,III,"<img src=""pkmn_0256.png"">",火,格斗,_pkmn_SoundCry_256.mp3,[sound:_pkmn_SoundCry_256.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0257,火焰鸡,III,"<img src=""pkmn_0257.png"">",火,格斗,_pkmn_SoundCry_257.mp3,[sound:_pkmn_SoundCry_257.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0258,水跃鱼,III,"<img src=""pkmn_0258.png"">",水,,_pkmn_SoundCry_258.mp3,[sound:_pkmn_SoundCry_258.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0259,沼跃鱼,III,"<img src=""pkmn_0259.png"">",水,地面,_pkmn_SoundCry_259.mp3,[sound:_pkmn_SoundCry_259.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0260,巨沼怪,III,"<img src=""pkmn_0260.png"">",水,地面,_pkmn_SoundCry_260.mp3,[sound:_pkmn_SoundCry_260.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
0261,土狼犬,III,"<img src=""pkmn_0261.png"">",恶,,_pkmn_SoundCry_261.mp3,[sound:_pkmn_SoundCry_261.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_3
