#separator:comma
#html:true
#tags column:10
#columns:dexNumber,Name,Generation,Image,Type1,Type2,SoundCry,SoundCry2,Credits,Tags
0001,妙蛙種子,I,"<img src=""pkmn_0001.png"">",草,毒,_pkmn_SoundCry_1.mp3,[sound:_pkmn_SoundCry_1.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0002,妙蛙草,I,"<img src=""pkmn_0002.png"">",草,毒,_pkmn_SoundCry_2.mp3,[sound:_pkmn_SoundCry_2.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0003,妙蛙花,I,"<img src=""pkmn_0003.png"">",草,毒,_pkmn_SoundCry_3.mp3,[sound:_pkmn_SoundCry_3.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0004,小火龍,I,"<img src=""pkmn_0004.png"">",火,,_pkmn_SoundCry_4.mp3,[sound:_pkmn_SoundCry_4.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0005,火恐龍,I,"<img src=""pkmn_0005.png"">",火,,_pkmn_SoundCry_5.mp3,[sound:_pkmn_SoundCry_5.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0006,噴火龍,I,"<img src=""pkmn_0006.png"">",火,飛行,_pkmn_SoundCry_6.mp3,[sound:_pkmn_SoundCry_6.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0007,傑尼龜,I,"<img src=""pkmn_0007.png"">",水,,_pkmn_SoundCry_7.mp3,[sound:_pkmn_SoundCry_7.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0008,卡咪龜,I,"<img src=""pkmn_0008.png"">",水,,_pkmn_SoundCry_8.mp3,[sound:_pkmn_SoundCry_8.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0009,水箭龜,I,"<img src=""pkmn_0009.png"">",水,,_pkmn_SoundCry_9.mp3,[sound:_pkmn_SoundCry_9.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0010,綠毛蟲,I,"<img src=""pkmn_0010.png"">",蟲,,_pkmn_SoundCry_10.mp3,[sound:_pkmn_SoundCry_10.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0011,鐵甲蛹,I,"<img src=""pkmn_0011.png"">",蟲,,_pkmn_SoundCry_11.mp3,[sound:_pkmn_SoundCry_11.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0012,巴大蝶,I,"<img src=""pkmn_0012.png"">",蟲,飛行,_pkmn_SoundCry_12.mp3,[sound:_pkmn_SoundCry_12.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0013,獨角蟲,I,"<img src=""pkmn_0013.png"">",蟲,毒,_pkmn_SoundCry_13.mp3,[sound:_pkmn_SoundCry_13.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0014,鐵殼蛹,I,"<img src=""pkmn_0014.png"">",蟲,毒,_pkmn_SoundCry_14.mp3,[sound:_pkmn_SoundCry_14.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0015,大針蜂,I,"<img src=""pkmn_0015.png"">",蟲,毒,_pkmn_SoundCry_15.mp3,[sound:_pkmn_SoundCry_15.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0016,波波,I,"<img src=""pkmn_0016.png"">",一般,飛行,_pkmn_SoundCry_16.mp3,[sound:_pkmn_SoundCry_16.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0017,比比鳥,I,"<img src=""pkmn_0017.png"">",一般,飛行,_pkmn_SoundCry_17.mp3,[sound:_pkmn_SoundCry_17.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0018,大比鳥,I,"<img src=""pkmn_0018.png"">",一般,飛行,_pkmn_SoundCry_18.mp3,[sound:_pkmn_SoundCry_18.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0019,小拉達,I,"<img src=""pkmn_0019.png"">",一般,,_pkmn_SoundCry_19.mp3,[sound:_pkmn_SoundCry_19.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0020,拉達,I,"<img src=""pkmn_0020.png"">",一般,,_pkmn_SoundCry_20.mp3,[sound:_pkmn_SoundCry_20.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0021,烈雀,I,"<img src=""pkmn_0021.png"">",一般,飛行,_pkmn_SoundCry_21.mp3,[sound:_pkmn_SoundCry_21.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0022,大嘴雀,I,"<img src=""pkmn_0022.png"">",一般,飛行,_pkmn_SoundCry_22.mp3,[sound:_pkmn_SoundCry_22.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0023,阿柏蛇,I,"<img src=""pkmn_0023.png"">",毒,,_pkmn_SoundCry_23.mp3,[sound:_pkmn_SoundCry_23.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0024,阿柏怪,I,"<img src=""pkmn_0024.png"">",毒,,_pkmn_SoundCry_24.mp3,[sound:_pkmn_SoundCry_24.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0025,皮卡丘,I,"<img src=""pkmn_0025.png"">",電,,_pkmn_SoundCry_25.mp3,[sound:_pkmn_SoundCry_25.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0026,雷丘,I,"<img src=""pkmn_0026.png"">",電,,_pkmn_SoundCry_26.mp3,[sound:_pkmn_SoundCry_26.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
0027,穿山鼠,I,"<img src=""pkmn_0027.png"">",地面,,_pkmn_SoundCry_27.mp3,[sound:_pkmn_SoundCry_27.mp3],Original idea by: /u/nunixnunix04 - Improvements and mass import by gleisonKZ and Akilez from Brazil,Pokedex::Generation_1
